iter	Passed	Remaining
0	149	149290
1	150	74860
2	150	50054
3	151	37648
4	151	30179
5	152	25198
6	152	21646
7	153	18979
8	153	16902
9	153	15241
10	154	13882
11	154	12750
12	155	11791
13	155	10972
14	156	10262
15	156	9639
16	157	9090
17	157	8601
18	158	8163
19	158	7769
20	159	7414
21	159	7090
22	159	6795
23	160	6525
24	160	6275
25	161	6044
26	161	5830
27	162	5632
28	162	5447
29	163	5275
30	163	5113
31	164	4963
32	164	4820
33	164	4686
34	165	4560
35	165	4441
36	166	4328
37	166	4221
38	167	4119
39	167	4022
40	168	3930
41	168	3843
42	168	3759
43	169	3679
44	169	3603
45	170	3532
46	170	3465
47	171	3401
48	171	3337
49	172	3276
50	173	3222
51	173	3167
52	174	3112
53	174	3059
54	175	3008
55	175	2959
56	175	2911
57	176	2865
58	176	2821
59	177	2778
60	177	2737
61	178	2697
62	178	2659
63	179	2621
64	179	2584
65	180	2548
66	180	2514
67	181	2482
68	181	2450
69	182	2418
70	182	2387
71	182	2357
72	183	2328
73	183	2299
74	184	2272
75	184	2245
76	185	2220
77	185	2195
78	186	2171
79	186	2148
80	187	2125
81	187	2102
82	188	2077
83	188	2055
84	188	2034
85	189	2013
86	189	1992
87	190	1972
88	190	1952
89	191	1933
90	191	1915
91	192	1896
92	192	1878
93	193	1860
94	193	1843
95	193	1826
96	194	1809
97	194	1793
98	195	1777
99	195	1761
100	196	1745
101	196	1730
102	197	1715
103	197	1701
104	197	1686
105	198	1672
106	198	1658
107	199	1645
108	199	1633
109	200	1621
110	201	1610
111	201	1599
112	202	1587
113	202	1576
114	203	1565
115	203	1553
116	204	1542
117	204	1530
118	205	1519
119	205	1508
120	206	1497
121	206	1485
122	206	1475
123	207	1465
124	207	1454
125	208	1444
126	208	1433
127	209	1424
128	209	1414
129	210	1405
130	210	1396
131	210	1386
132	211	1377
133	211	1368
134	212	1359
135	212	1351
136	213	1342
137	213	1333
138	213	1325
139	214	1318
140	215	1311
141	215	1303
142	216	1295
143	216	1288
144	217	1281
145	217	1274
146	218	1266
147	218	1259
148	219	1252
149	219	1244
150	220	1237
151	220	1230
152	221	1223
153	221	1216
154	221	1209
155	222	1202
156	222	1196
157	223	1189
158	223	1183
159	224	1176
160	224	1169
161	224	1163
162	225	1157
163	225	1150
164	226	1144
165	226	1138
166	227	1132
167	227	1126
168	227	1120
169	228	1115
170	228	1109
171	229	1104
172	230	1099
173	230	1094
174	231	1089
175	231	1083
176	232	1079
177	232	1074
178	233	1068
179	233	1063
180	233	1058
181	234	1053
182	234	1048
183	235	1043
184	235	1038
185	236	1033
186	236	1028
187	236	1023
188	237	1018
189	237	1013
190	238	1009
191	238	1004
192	239	999
193	239	995
194	240	990
195	240	986
196	240	982
197	241	977
198	241	973
199	242	969
200	242	965
201	243	961
202	243	957
203	244	953
204	244	949
205	245	945
206	245	941
207	246	937
208	246	933
209	247	930
210	247	926
211	248	922
212	248	919
213	249	915
214	249	911
215	250	907
216	250	904
217	250	900
218	251	896
219	251	893
220	252	889
221	252	885
222	253	882
223	253	878
224	254	875
225	254	871
226	255	868
227	255	865
228	256	862
229	256	859
230	257	855
231	257	852
232	258	849
233	258	846
234	259	843
235	259	841
236	260	838
237	260	835
238	261	831
239	261	828
240	262	825
241	262	822
242	263	819
243	263	816
244	263	813
245	264	810
246	264	807
247	265	804
248	265	801
249	266	798
250	266	795
251	267	792
252	267	789
253	267	786
254	268	783
255	268	781
256	269	778
257	269	775
258	270	772
259	270	770
260	271	767
261	271	764
262	271	761
263	272	759
264	272	756
265	273	753
266	273	751
267	274	748
268	274	746
269	275	743
270	275	741
271	276	739
272	276	736
273	277	734
274	277	731
275	278	729
276	278	727
277	279	724
278	279	722
279	280	720
280	280	717
281	280	715
282	281	712
283	281	710
284	282	708
285	282	705
286	283	703
287	283	701
288	284	698
289	284	696
290	284	694
291	285	691
292	285	689
293	286	687
294	286	685
295	287	682
296	287	680
297	288	678
298	288	676
299	288	674
300	289	672
301	289	670
302	290	668
303	290	666
304	291	663
305	291	661
306	292	659
307	292	657
308	293	655
309	293	653
310	294	651
311	294	649
312	294	647
313	295	645
314	295	643
315	296	641
316	296	639
317	297	637
318	297	635
319	298	633
320	298	631
321	298	629
322	299	627
323	299	625
324	300	623
325	300	621
326	301	619
327	301	617
328	301	615
329	302	614
330	302	612
331	303	610
332	303	608
333	304	607
334	304	605
335	305	603
336	305	601
337	306	599
338	306	598
339	307	596
340	307	594
341	308	592
342	308	590
343	309	589
344	309	587
345	309	585
346	310	583
347	310	582
348	311	580
349	311	579
350	312	577
351	312	575
352	313	574
353	313	572
354	314	570
355	314	569
356	315	567
357	315	566
358	316	564
359	316	563
360	317	561
361	317	560
362	318	558
363	319	557
364	319	555
365	320	554
366	320	553
367	321	551
368	321	549
369	322	548
370	322	546
371	322	545
372	323	543
373	323	542
374	324	540
375	324	538
376	325	537
377	325	536
378	326	534
379	326	532
380	327	531
381	327	529
382	327	528
383	328	526
384	328	525
385	329	523
386	329	522
387	330	520
388	330	519
389	331	517
390	331	516
391	332	515
392	332	513
393	332	512
